year,rgdp,ag_share,mining_share,manuf_share,other_share
1801,35,30,0,3,67
1802,38,46,0,1,53
1803,39,44,0,7,49
1804,43,37,0,2,61
1805,48,47,0,2,52
1806,52,46,0,0,54
1807,57,49,0,3,49
1808,58,45,0,2,53
1809,60,47,0,2,51
1810,75,61,0,5,34
1811,85,58,0,2,40
1812,83,56,0,2,42
1813,86,55,0,2,43
1814,90,52,0,4,44
1815,101,56,0,4,40
1816,108,48,0,6,46
1817,110,49,0,4,47
1818,125,51,0,5,44
1819,140,54,0,3,44
1820,152,54,0,3,43
1821,179,56,0,4,40
1822,211,55,0,5,41
1823,215,52,0,5,43
1824,220,50,0,5,45
1825,242,49,0,5,46
1826,256,49,0,5,46
1827,273,45,0,5,50
1828,301,47,0,4,49
1829,336,44,0,5,51
1830,433,43,0,7,50
1831,529,42,0,6,52
1832,566,40,0,7,53
1833,602,42,0,8,50
1834,652,50,0,7,43
1835,794,57,0,6,37
1836,912,55,0,5,40
1837,957,48,0,6,46
1838,"1,017",43,0,8,49
1839,"1,020",43,0,9,48
1840,"1,203",43,0,12,44
1841,"1,332",43,0,8,49
1842,"1,220",38,0,8,53
1843,"1,312",36,0,6,57
1844,"1,580",34,0,7,59
1845,"1,773",35,0,7,58
1846,"1,964",36,2,7,56
1847,"2,331",36,2,9,53
1848,"2,818",35,3,10,53
1849,"3,168",33,2,10,55
1850,"3,249",35,3,10,52
1851,"3,662",33,5,11,51
1852,"4,762",16,36,7,41
1853,"6,073",16,28,9,48
1854,"6,634",17,19,10,54
1855,"6,732",23,22,8,47
1856,"8,059",22,23,8,46
1857,"9,012",24,22,12,42
1858,"8,413",25,20,12,43
1859,"9,398",25,18,12,46
1860,"10,852",24,17,13,47
1861,"10,989",20,15,5,60
1862,"10,946",22,16,5,58
1863,"11,028",22,14,5,59
1864,"11,808",25,14,5,57
1865,"12,372",24,12,5,59
1866,"12,751",25,11,7,56
1867,"13,931",28,11,7,54
1868,"15,080",23,12,8,57
1869,"15,511",25,11,8,57
1870,"16,147",27,9,9,56
1871,"16,403",24,12,9,55
1872,"16,968",27,10,9,55
1873,"18,773",28,8,9,55
1874,"20,025",28,8,9,55
1875,"21,461",29,8,9,54
1876,"22,538",27,7,10,56
1877,"22,959",24,6,11,60
1878,"24,549",28,6,10,56
1879,"25,872",27,5,10,57
1880,"26,734",28,5,10,57
1881,"28,396",25,5,11,60
1882,"28,590",24,5,11,59
1883,"29,821",25,4,11,59
1884,"31,945",21,4,12,63
1885,"33,084",22,4,12,62
1886,"34,325",21,4,11,64
1887,"36,346",23,4,11,62
1888,"38,336",26,4,11,59
1889,"40,142",23,5,10,62
1890,"41,055",23,5,11,62
1891,"41,865",25,5,10,60
1892,"40,726",23,6,11,59
1893,"37,023",25,7,11,57
1894,"36,633",24,8,11,57
1895,"36,202",28,8,13,52
1896,"36,469",23,7,13,58
1897,"36,787",22,9,13,56
1898,"38,521",20,8,12,60
1899,"41,290",20,11,13,56
1900,"42,604",21,11,13,56
1901,"41,889",19,10,12,58
1902,"46,132",19,9,12,61
1903,"43,113",20,10,11,59
1904,"48,047",29,9,10,51
1905,"47,235",28,10,11,51
1906,"49,376",28,9,11,51
1907,"56,331",30,9,12,49
1908,"52,023",28,8,12,52
1909,"54,044",27,7,13,53
1910,"57,143",30,6,12,52
1911,"62,302",27,6,13,54
1912,"61,385",23,6,14,56
1913,"64,145",23,6,14,57
1914,"67,174",24,5,13,58
1915,"63,808",18,5,15,62
1916,"64,764",25,5,14,56
1917,"62,920",31,5,12,53
1918,"62,354",31,4,12,52
1919,"63,445",28,4,12,57
1920,"65,909",24,3,11,62
1921,"68,965",28,2,12,57
1922,"72,695",23,2,14,60
1923,"76,398",23,2,14,61
1924,"79,844",23,3,15,60
1925,"86,671",26,2,13,58
1926,"87,654",23,2,15,61
1927,"90,845",21,3,15,61
1928,"90,360",20,2,16,61
1929,"91,182",21,2,17,60
1930,"86,631",20,2,18,60
1931,"74,257",21,2,16,62
1932,"75,846",23,2,16,59
1933,"82,753",23,2,16,58
1934,"86,859",26,2,16,56
1935,"91,734",22,3,16,59
1936,"97,362",24,3,16,57
1937,"100,270",25,3,16,56
1938,"107,352",23,3,17,57
1939,"107,312",20,3,19,58
1940,"109,386",,,,
1941,"117,585",,,,
1942,"134,826",,,,
1943,"146,573",,,,
1944,"144,828",,,,
1945,"136,457",,,,
1946,"130,820",,,,
1947,"126,857",,,,
1948,"137,116",,,,
1949,"143,883",21,2,26,50
1950,"155,559",24,2,25,48
1951,"164,530",29,2,24,45
1952,"169,352",19,2,27,51
1953,"168,036",21,2,26,51
1954,"178,610",19,2,27,52
1955,"189,255",16,2,28,53
1956,"198,770",16,2,28,54
1957,"202,676",17,2,28,54
1958,"206,997",13,2,29,56
1959,"222,364",14,2,29,55
1960,"235,783",13,2,29,56
1961,"241,642",13,2,29,57
1962,"244,978",12,2,28,58
1963,"260,355",11,2,26,61
1964,"278,641",12,2,25,61
1965,"295,319",11,2,26,61
1966,"302,213",9,2,26,63
1967,"321,305",10,2,25,63
1968,"337,782",8,2,25,65
1969,"361,637",9,2,25,65
1970,"387,656",7,3,25,65
1971,"403,159",6,3,24,67
1972,"418,874",6,3,24,67
1973,"429,977",7,3,23,67
1974,"447,672",8,3,22,67
1975,"453,204",6,4,21,69
1976,"465,110",5,4,21,70
1977,"481,732",5,5,20,70
1978,"486,005",4,5,20,71
1979,"506,087",6,5,19,69
1980,"521,559",6,6,19,69
1981,"539,299",5,6,19,69
1982,"556,761",5,6,19,70
1983,"543,876",4,6,18,72
1984,"569,689",5,7,18,71
1985,"598,543",4,7,17,71
1986,"625,997",4,6,17,73
1987,"642,470",4,5,16,75
1988,"678,762",4,5,16,75
1989,"705,368",4,4,15,76
1990,"730,662",4,4,15,76
1991,"728,098",4,5,14,77
1992,"731,216",3,5,14,77
1993,"761,274",4,5,14,77
1994,"792,096",4,5,15,77
