year,males,females,persons,sex_ratio,net_migration_share_of_increase,perc_pop_born_overseas,labour_force,unemp_rate,part_rate
1800,"3,780","1,437","5,217",263.0,,,,,
1801,"4,372","1,573","5,945",277.9,,,,,
1802,"5,208","1,806","7,014",288.4,,,,,
1803,"5,185","2,053","7,238",252.6,,,,,
1804,"5,313","2,285","7,598",232.5,,,,,
1805,"5,395","2,312","7,707",233.3,,,,,
1806,"5,389","2,521","7,910",213.8,,,,,
1807,"5,939","2,855","8,794",208.0,,,,,
1808,"6,822","3,441","10,263",198.3,,,,,
1809,"7,618","3,942","11,560",193.3,,,,,
1810,"7,585","3,981","11,566",190.5,,,,,
1811,"7,697","4,178","11,875",184.2,,,,,
1812,"8,132","4,498","12,630",180.8,,,,,
1813,"9,102","4,855","13,957",187.5,,,,,
1814,"9,295","4,791","14,086",194.0,,,,,
1815,"9,848","5,215","15,063",188.8,,,,,
1816,"11,690","5,863","17,553",199.4,,,,,
1817,"14,178","7,014","21,192",202.1,,,,,
1818,"17,286","8,573","25,859",201.6,,,,,
1819,"21,366","10,106","31,472",211.4,,,,,
1820,"23,784","9,759","33,543",243.7,,,,,
1821,"26,179","9,313","35,492",281.1,,,,,
1822,"27,915","9,449","37,364",295.4,,,,,
1823,"30,206","10,426","40,632",289.7,,,,,
1824,"36,871","11,201","48,072",329.2,,,,,
1825,"40,288","12,217","52,505",329.8,,,,,
1826,"41,289","12,593","53,882",327.9,,,,,
1827,"43,053","13,247","56,300",325.0,,,,,
1828,"44,778","13,419","58,197",333.7,,,,,
1829,"46,946","14,988","61,934",313.2,,,,,
1830,"52,885","17,154","70,039",308.3,,,,,
1831,"57,037","18,944","75,981",301.1,,,,,
1832,"62,254","21,683","83,937",287.1,,,,,
1833,"71,669","26,426","98,095",271.2,,,,,
1834,"76,259","29,297","105,556",260.3,,,,,
1835,"81,929","31,425","113,354",260.7,,,,,
1836,"89,417","35,703","125,120",250.4,,,,,
1837,"94,881","39,607","134,488",239.6,94.8,,,,
1838,"105,271","46,597","151,868",225.9,94.6,,,,
1839,"115,480","54,459","169,939",212.0,96.6,,,,
1840,"127,306","63,102","190,408",201.7,90.6,,,,
1841,"144,114","76,854","220,968",187.5,92.2,,110.2,,49.9
1842,"153,758","87,226","240,984",176.3,81.1,,,,
1843,"158,846","92,002","250,848",172.7,61.1,,,,
1844,"165,034","99,253","264,287",166.3,64.5,,,,
1845,"173,159","105,989","279,148",163.4,52.5,,,,
1846,"181,342","111,907","293,249",162.0,55.1,,147.1,,50.2
1847,"190,265","118,532","308,797",160.5,60.0,,,,
1848,"201,612","130,716","332,328",154.2,76.5,,,,
1849,"221,978","151,384","373,362",146.6,87.4,,,,
1850,"238,683","166,673","405,356",143.2,79.6,,,,
1851,"256,975","180,690","437,665",142.2,64.3,,196.7,,44.9
1852,"304,126","209,670","513,796",145.0,94.3,,,,
1853,"358,203","242,789","600,992",147.5,95.6,,,,
1854,"414,337","280,580","694,917",147.7,92.7,,322.4,,46.4
1855,"470,118","323,142","793,260",145.5,87.8,,,,
1856,"522,144","354,585","876,729",147.3,79.8,,397.5,,45.3
1857,"574,800","395,487","970,287",145.3,84.4,,,,
1858,"624,380","426,448","1,050,828",146.4,84.7,,,,
1859,"644,376","452,929","1,097,305",142.3,77.7,,,,
1860,"668,560","477,025","1,145,585",140.2,71.3,,,,
1861,"669,373","498,776","1,168,149",134.2,–26.0,62.8,547.8,5.2,46.9
1862,"683,650","523,268","1,206,918",130.7,21.4,,,3.0,
1863,"704,259","555,033","1,259,292",126.9,42.6,,,2.7,
1864,"740,433","584,750","1,325,183",126.6,47.9,,,3.3,
1865,"773,278","616,765","1,390,043",125.4,46.7,,,3.5,
1866,"800,648","643,307","1,443,955",124.5,44.4,,,4.4,
1867,"819,127","664,721","1,483,848",123.2,18.9,,,6.3,
1868,"849,272","690,280","1,539,552",123.0,32.2,,,6.8,
1869,"875,139","717,018","1,592,157",122.1,28.6,,,6.1,
1870,"902,494","745,262","1,647,756",121.1,28.6,,,7.3,
