year,ave_nom_assist_ag,ave_nom_assist_manuf,rra
1904,6.5,29.7,21.8
1905,11.6,28.8,15.4
1906,6.8,28.0,19.9
1907,6.7,26.7,18.7
1908,8.0,26.2,16.8
1909,7.8,30.6,21.1
1910,9.2,30.5,19.5
1911,8.8,30.3,19.8
1912,9.3,28.6,17.7
1913,7.6,27.8,18.8
1914,6.0,28.1,20.8
1915,4.8,28.7,22.9
1916,5.1,25.5,19.4
1917,4.9,25.0,19.1
1918,6.2,20.7,13.7
1919,4.5,19.8,14.7
1920,4.7,22.6,17.1
1921,3.1,21.4,17.7
1922,4.1,26.7,21.7
1923,3.9,25.6,20.8
1924,5.6,25.8,19.1
1925,4.0,27.3,22.4
1926,4.6,29.3,23.6
1927,4.8,30.3,24.3
1928,5.2,31.9,25.4
1929,4.9,32.9,26.7
1930,7.4,39.3,29.7
1931,7.1,52.2,42.1
1932,8.7,72.0,58.2
1933,8.1,65.0,52.7
1934,6.4,63.6,53.7
1935,9.1,57.7,44.6
1936,6.0,55.2,46.4
1937,4.2,54.4,48.1
1938,3.0,48.8,44.5
1939,5.9,55.6,46.9
1940,4.3,52.8,46.5
1941,4.1,60.4,54.1
1942,4.9,47.4,40.5
1943,6.1,51.8,43.1
1944,9.5,52.2,39.0
1945,11.4,54.8,39.0
1946,7.4,47.1,37.0
1947,-13.5,46.9,69.8
1948,-4.6,29.7,36.0
1949,-4.9,27.0,33.5
1950,-4.9,26.2,32.7
1951,-3.2,24.5,28.6
1952,-1.1,23.0,24.4
1953,2.5,33.9,30.6
1954,4.5,26.3,20.9
1955,6.1,22.9,15.8
1956,5.3,22.0,15.9
1957,7.9,21.9,13.0
1958,10.3,19.8,8.6
1959,7.5,21.7,13.2
1960,8.9,21.2,11.3
1961,11.0,20.0,8.1
1962,10.3,22.1,10.7
1963,9.8,22.0,11.1
1964,7.2,22.3,14.1
1965,9.1,22.9,12.6
1966,10.6,22.0,10.3
1967,9.6,22.4,11.7
1968,15.4,22.8,6.4
1969,13.8,23.0,8.1
1970,14.2,23.3,8.6
1971,17.5,25.5,4.7
1972,12.8,26.6,9.0
1973,7.5,30.1,13.5
1974,3.9,26.8,17.4
1975,2.4,28.6,14.3
1976,4.5,29.7,10.0
1977,5.4,29.4,10.1
1978,5.9,29.0,8.6
1979,4.3,31.3,10.3
1980,3.1,28.8,11.5
1981,3.6,28.4,11.0
1982,3.7,27.7,10.9
1983,8.0,28.1,7.4
1984,6.3,27.0,9.1
1985,5.6,27.0,7.0
1986,6.1,26.3,6.5
1987,8.8,24.8,2.9
1988,5.8,24.3,5.9
1989,4.3,23.5,6.4
1990,3.6,22.9,6.2
1991,6.5,21.3,2.3
1992,4.5,20.4,4.3
1993,4.0,18.9,3.8
1994,3.7,17.1,3.2
1995,3.5,16.1,2.4
1996,3.0,14.7,1.9
1997,3.1,12.2,1.8
1998,2.7,11.3,1.3
1999,2.7,10.9,0.3
2000,2.1,10.6,0.9
2001,0.0,11.2,3.0
2002,0.0,10.4,3.0
2003,0.0,10.0,3.0
2004,0.0,10.0,3.0
2005,0.0,9.5,3.0
