year,dwelling_inv_percgdp,nondwelling_inv_percgdp
1861,2.6,2.2
1862,2.6,1.3
1863,3.0,4.4
1864,3.9,2.5
1865,3.5,3.1
1866,2.8,2.6
1867,3.2,1.7
1868,2.6,4.4
1869,3.1,3.4
1870,2.9,2.7
1871,2.4,2.1
1872,3.4,4.4
1873,3.0,4.1
1874,2.7,4.4
1875,2.7,5.8
1876,3.6,5.3
1877,2.6,9.3
1878,2.4,6.5
1879,2.6,4.0
1880,2.3,6.2
1881,3.5,7.7
1882,3.4,4.4
1883,5.0,3.3
1884,4.6,4.0
1885,3.9,3.9
1886,3.3,6.2
1887,4.2,6.0
1888,4.3,6.3
1889,2.6,6.1
1890,3.0,3.8
1891,2.3,6.1
1892,2.0,2.2
1893,1.6,1.4
1894,2.1,2.6
1895,1.8,1.3
1896,1.8,3.4
1897,0.8,1.0
1898,1.8,3.2
1899,0.9,3.5
1900,0.8,2.9
1901,1.8,3.6
1902,3.4,4.1
1903,2.5,4.1
1904,2.0,3.3
1905,2.2,3.2
1906,2.1,3.5
1907,2.9,4.5
1908,2.9,4.0
1909,1.9,3.6
1910,1.7,3.6
1911,1.6,3.9
1912,2.4,4.2
1913,3.3,4.1
1914,3.3,4.1
1915,3.0,2.4
1916,2.0,2.2
1917,1.5,3.2
1918,1.5,2.8
1919,1.9,3.7
1920,2.1,4.6
1921,1.7,4.8
1922,2.5,5.4
1923,3.3,4.8
1924,3.5,4.8
1925,3.2,4.1
1926,3.5,4.1
1927,3.7,3.8
1928,3.7,3.6
1929,3.3,3.7
1930,2.6,2.6
1931,1.6,3.0
1932,1.0,2.4
1933,1.7,2.2
1934,1.8,2.9
1935,2.1,3.8
1936,2.5,3.7
1937,2.6,3.7
1938,2.7,4.5
1939,2.9,4.4
1940,2.4,4.8
1941,2.1,3.7
1942,1.1,2.7
1943,0.4,2.0
1944,0.3,2.3
1945,0.4,3.0
1946,0.8,4.8
1947,1.8,5.9
1948,2.1,6.0
1949,2.8,6.8
1950,3.1,7.4
1951,3.3,8.0
1952,3.9,8.9
1953,3.6,7.8
1954,3.5,8.6
1955,3.6,9.2
1956,3.5,9.6
1957,3.2,9.3
1958,3.6,9.7
1959,3.7,9.1
1960,4.3,10.5
1961,4.5,11.0
1962,3.9,10.8
1963,4.0,11.1
1964,4.2,11.2
1965,4.6,11.9
1966,4.4,12.5
1967,4.3,11.6
1968,4.5,11.5
1969,4.6,11.9
1970,4.7,11.2
1971,4.5,12.2
1972,4.8,11.9
1973,5.2,10.9
1974,5.2,10.5
1975,4.2,10.5
1976,5.1,10.3
1977,5.7,10.1
1978,5.7,10.4
1979,5.4,11.6
1980,5.5,10.9
1981,6.2,12.0
1982,5.9,12.8
1983,4.7,11.5
1984,4.7,10.5
1985,5.1,11.0
1986,5.0,12.0
1987,4.3,12.5
1988,4.4,13.1
1989,5.5,13.1
1990,5.3,12.4
1991,4.8,10.3
1992,4.9,8.8
1993,5.3,9.0
1994,5.8,9.3
1995,5.7,10.6
1996,4.8,11.0
1997,4.7,11.0
1998,5.3,11.6
1999,5.5,11.6
2000,6.1,11.4
2001,4.8,10.5
2002,5.5,10.5
2003,6.1,11.6
2004,6.4,11.9
2005,6.3,12.5
2006,6.0,13.6
2007,5.6,13.5
2008,5.5,14.0
2009,5.3,14.1
2010,5.3,12.5
