year,stock_index,median_house_price,bill_yield,bond_yield,equity_premium,real_bond_yield
1875,5.4,,,,,
1876,5.1,,,,,
1877,5.3,,,,,
1878,5.3,,,,,
1879,4.2,,,,,
1880,4.8,0.75,,,,
1881,5.5,0.79,,,,
1882,6.2,0.78,,,,
1883,7.0,0.77,5.5,3.8,25.2,6.7
1884,7.4,0.89,4.8,3.7,0.7,12.5
1885,7.4,0.82,4.8,3.8,7.5,–6.0
1886,7.5,0.90,5.8,3.8,–0.9,–0.6
1887,7.7,0.93,4.0,3.6,24.6,7.6
1888,9.3,0.94,5.0,3.4,22.8,6.3
1889,10.5,1.07,5.0,3.4,–4.5,2.4
1890,9.1,0.97,4.5,3.5,–2.1,2.7
1891,8.8,1.00,5.3,3.8,–14.2,3.7
1892,8.2,0.90,5.3,3.8,2.5,6.8
1893,7.1,0.77,5.4,3.8,–8.7,10.1
1894,7.2,0.59,3.0,3.5,7.1,8.9
1895,7.5,0.60,3.9,3.3,16.8,2.5
1896,8.5,0.58,3.4,3.2,–1.5,2.0
1897,8.2,0.67,3.6,3.0,5.5,–1.2
1898,8.3,0.60,3.6,3.3,12.2,8.1
1899,9.2,0.61,3.6,3.5,8.6,3.2
1900,9.6,0.66,3.5,3.3,8.9,3.7
1901,9.7,0.73,3.5,3.3,–6.5,–1.8
1902,9.3,0.76,3.5,3.5,12.1,–2.9
1903,10.5,0.69,3.5,3.6,18.3,5.6
1904,12.0,0.66,3.8,3.7,3.8,9.8
1905,12.9,0.66,3.8,3.5,11.1,–0.8
1906,13.7,0.73,3.6,3.5,6.7,3.5
1907,14.0,0.76,3.6,3.5,5.3,3.5
1908,15.9,0.80,3.6,3.5,13.8,–2.8
1909,17.3,0.83,3.6,3.6,9.9,3.6
1910,18.2,0.83,3.6,3.8,2.9,1.8
1911,19.4,0.86,3.6,3.8,6.9,1.9
1912,19.6,0.97,3.6,3.9,4.7,–7.4
1913,20.3,1.00,3.6,4.3,4.6,4.3
1914,23.9,1.01,3.6,4.3,7.1,0.9
1915,22.6,1.06,3.6,4.6,–8.1,–10.2
1916,19.3,1.01,3.6,4.9,–8.3,3.5
1917,19.7,1.06,3.6,4.7,10.8,–0.9
1918,20.3,1.21,3.6,5.0,2.5,–1.7
1919,22.3,1.29,3.6,5.4,13.3,–8.4
1920,25.9,1.58,4.5,6.7,1.4,–6.5
1921,25.8,1.58,4.5,5.9,14,18.5
1922,29.1,1.55,4.5,5.7,15.6,9.0
1923,35.0,1.74,4.5,5.9,10.3,3.6
1924,36.4,1.78,4.9,5.4,8.3,6.5
1925,38.2,1.74,4.9,5.2,12.5,5.2
1926,42.7,1.78,4.9,5.3,8.8,3.0
1927,46.6,1.72,5.3,5.4,7,6.5
1928,49.9,1.81,5.3,5.3,12.4,5.3
1929,53.5,1.81,5.3,5.6,–10.9,3.4
1930,38.9,1.52,5.8,6.5,–36.1,10.9
1931,30.2,1.38,4.5,4.7,13,15.0
1932,35.7,1.32,3.9,3.9,20.9,9.0
1933,46.0,1.33,3.8,3.6,22,7.7
1934,51.6,1.37,2.6,3.3,19.9,0.5
1935,60.8,1.41,2.6,3.7,6.4,2.3
1936,66.1,1.44,3.5,4.0,15.8,2.6
1937,71.7,1.51,3.2,3.7,–1.3,–0.3
1938,64.8,1.52,3.8,3.9,–4.4,1.3
1939,63.6,1.55,3.7,3.8,1.5,1.3
1940,56.3,1.64,2.9,3.1,0.4,–0.6
1941,60.3,1.77,2.5,3.3,–8.8,–1.4
1942,53.4,1.94,2.5,3.2,15.2,–5.8
1943,65.6,2.06,2.5,3.2,5.7,–0.9
1944,68.1,2.05,2.5,3.2,4.8,4.2
1945,71.0,2.05,2.5,3.3,10.8,3.3
1946,81.3,2.05,2.0,3.2,10.1,1.2
1947,90.1,2.05,2.5,3.2,13.4,–0.7
1948,95.2,2.05,2.3,3.1,–0.7,–7.3
1949,84.6,2.05,2.0,3.1,5,–5.7
1950,105.2,4.39,2.0,3.2,28.2,–7.6
1951,137.0,5.22,2.0,3.8,–8.4,–21.8
1952,93.2,5.17,3.2,4.5,–17.8,–5.2
1953,94.5,4.76,3.0,4.4,8.6,2.6
1954,108.0,5.06,3.5,4.5,14.1,3.6
1955,120.7,5.64,4.2,4.5,5.8,1.1
1956,112.1,6.27,4.7,5.1,2.6,–1.6
1957,132.3,6.52,4.4,5.0,11.7,4.2
1958,142.5,6.87,4.4,4.9,14,3.3
1959,170.7,6.94,4.1,4.8,39.5,2.5
1960,226.9,8.00,3.4,5.3,–11.5,0.8
1961,209.7,8.87,4.1,4.9,6.7,4.2
1962,198.7,8.43,3.8,4.7,–0.5,4.7
1963,214.8,9.02,3.5,4.3,22.3,3.6
1964,249.7,9.31,3.6,4.8,–0.4,1.3
1965,211.9,10.34,4.1,5.2,–13.4,1.1
1966,218.6,11.05,4.6,5.0,1.7,2.4
1967,238.6,10.72,4.3,5.1,37.4,1.9
1968,404.0,11.12,4.5,4.9,29.9,2.4
1969,384.7,12.81,4.7,5.6,4.5,2.6
1970,367.4,14.19,5.3,6.4,–20.1,1.7
1971,330.3,16.12,5.6,5.7,–11.8,–1.6
1972,414.4,17.76,4.6,5.3,31.1,0.6
1973,381.1,21.38,5.1,8.1,–33.9,–4.8
1974,271.7,25.83,9.4,9.2,–35.4,–7.1
1975,251.2,28.97,7.9,10.0,44.6,–4.4
1976,317.5,32.72,7.5,10.4,–6.8,–3.8
1977,309.0,35.74,8.9,9.5,3.7,0.2
1978,334.6,37.68,8.6,8.8,15.5,1.1
1979,389.7,40.25,9.0,10.1,28.9,0.0
1980,611.0,47.49,10.7,12.6,39.7,3.4
1981,708.4,54.55,13.6,15.0,–25.8,3.7
1982,479.4,57.70,15.6,14.0,–29.3,3.0
1983,603.4,60.75,11.7,13.5,50.2,4.9
1984,661.8,68.53,11.1,13.4,–12.9,10.8
1985,855.1,74.89,15.0,14.9,27.2,6.7
1986,"1,210.8",80.31,17.1,13.4,37.7,3.6
1987,"1,779.1",83.93,14.1,12.9,–22.5,5.8
1988,"1,585.3",99.64,11.7,13.0,8.1,5.4
1989,"1,527.7",134.67,17.3,12.9,5,5.1
1990,"1,508.8",136.83,15.9,12.1,–27.4,5.2
1991,"1,504.9",137.68,11.1,9.4,18.1,7.9
1992,"1,652.7",141.17,6.8,8.9,–11.1,8.6
1993,"1,722.6",145.13,5.3,6.7,37.5,4.8
1994,"2,040.2",150.29,5.4,10.0,–15.8,7.5
1995,"2,000.8",152.86,8.0,8.2,13.3,3.1
1996,"2,231.7",154.68,7.4,7.4,4.3,5.9
1997,"2,662.7",159.66,5.5,6.1,6.3,6.3
1998,"2,608.2",175.50,5.0,5.0,6.9,3.4
1999,"2,963.0",186.89,4.8,7.0,10.6,5.2
2000,"3,115.9",205.51,5.9,5.5,1,–0.3
2001,"3,352.4",222.59,5.1,6.0,0.1,2.9
2002,"3,241.5",268.13,4.7,5.2,–11.4,2.2
2003,"3,032.0",312.90,4.9,5.6,7.8,3.2
2004,"3,499.8",341.01,5.6,5.3,22.5,2.7
2005,"4,197.5",347.73,5.8,5.2,15.4,2.4
2006,"4,933.5",373.49,6.0,5.9,19,2.6
2007,"6,337.6",411.71,6.7,6.3,16,3.3
2008,"5,513.5",445.53,7.7,4.0,–47.3,0.3
2009,"3,931.8",442.36,3.3,5.7,34.7,3.6
2010,"4,467.5",523.13,4.4,5.5,0.9,2.8
