year,rgdp_per_cap,awe,gdp_def,cpi,real_prod_wage,house_afford
1801,0.0066,,,,,
1802,0.0064,,,,,
1803,0.0055,,,,,
1804,0.0059,,,,,
1805,0.0064,,,,,
1806,0.0068,,,,,
1807,0.0072,,,,,
1808,0.0066,,,,,
1809,0.0058,,,,,
1810,0.0065,,,,,
1811,0.0074,,,,,
1812,0.0070,,,,,
1813,0.0068,,,,,
1814,0.0064,,,,,
1815,0.0072,,,,,
1816,0.0071,,,,,
1817,0.0063,,,,,
1818,0.0059,,,,,
1819,0.0054,,,,,
1820,0.0048,,,,,
1821,0.0053,,,,,
1822,0.0059,,,,,
1823,0.0058,,,,,
1824,0.0054,,,,,
1825,0.0050,,,,,
1826,0.0049,,,,,
1827,0.0051,,,,,
1828,0.0053,,1.5,,,
1829,0.0058,,1.48,,,
1830,0.0070,,1.18,,,
1831,0.0076,,1.14,,,
1832,0.0074,,1.14,,,
1833,0.0072,,1.26,,,
1834,0.0066,,1.55,,,
1835,0.0075,,1.55,,,
1836,0.0080,,1.6,,,
1837,0.0076,,1.56,,,
1838,0.0076,,1.54,,,
1839,0.0067,,1.93,,,
1840,0.0071,,1.7,,,
1841,0.0070,,1.55,,,
1842,0.0055,,1.47,,,
1843,0.0054,,1.14,,,
1844,0.0063,,1,,,
1845,0.0067,,1.09,,,
1846,0.0070,,1.07,,,
1847,0.0080,,0.94,,,
1848,0.0091,,0.91,,,
1849,0.0095,,0.86,,,
1850,0.0087,,1,,,
1851,0.0090,,0.92,3.04,,
1852,0.0109,,1.18,2.89,,
1853,0.0118,,1.61,3.04,,
1854,0.0110,,1.91,4.34,,
1855,0.0097,,2.02,5.63,,
1856,0.0102,,1.72,5.29,,
1857,0.0103,,1.57,4.78,,
1858,0.0087,,1.76,4.77,,
1859,0.0089,,1.69,4.72,,
1860,0.0099,,1.52,4.41,,
1861,0.0096,2.04,1.54,3.94,1.32,
1862,0.0094,2.02,1.55,3.6,1.30,
1863,0.0091,1.94,1.52,3.47,1.28,
1864,0.0094,1.94,1.43,3.37,1.36,
