date,emp_tot,unemp_tot,lab_force,unemp_rate,part_rate,emp_pop_ratio,civ_pop,source,frequency
1901-06-30,1426,94.937076,1484,0.039,0.6096248424588092,0.5857985345999069,2434.284,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1902-06-30,1458,NA,1532,0.048,NA,NA,NA,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1903-06-30,1445,NA,1580,0.085,NA,NA,NA,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1904-06-30,1499,NA,1654,0.094,NA,NA,NA,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1905-06-30,1492,NA,1632,0.086,NA,NA,NA,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1906-06-30,1523,NA,1630,0.066,NA,NA,NA,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1907-06-30,1588,NA,1675,0.052,NA,NA,NA,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1908-06-30,1641,NA,1698,0.034,NA,NA,NA,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1909-06-30,1690,NA,1747,0.033,NA,NA,NA,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1910-06-30,1763,NA,1824,0.033,NA,NA,NA,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1911-06-30,1782,86.36001660000001,1834,0.0286,0.6073690356377258,0.5901481033295679,3019.581,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1912-06-30,1898,NA,1945,0.0244,NA,NA,NA,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1913-06-30,1937,NA,2038,0.0504,NA,NA,NA,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1914-06-30,2017,NA,2085,0.0327,NA,NA,NA,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1915-06-30,1956,NA,2082,0.0592,NA,NA,NA,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1916-06-30,1929,NA,2003,0.0349,NA,NA,NA,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1917-06-30,1896,NA,1968,0.033,NA,NA,NA,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1918-06-30,1893,NA,1968,0.0339,NA,NA,NA,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1919-06-30,1924,NA,2002,0.0362,NA,NA,NA,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1920-06-30,1999,NA,2071,0.0339,NA,NA,NA,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1921-06-30,2037,214.32088000000002,2161,0.0577,0.5817897910833513,0.548406202886065,3714.4,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1922-06-30,2104,232.26554000000002,2241,0.0611,0.5895196506550218,0.5534802967327827,3801.4,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1923-06-30,2187,195.37998000000002,2302,0.0501,0.5902866813682752,0.5607979896404943,3899.8,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1924-06-30,2230,189.1054,2341,0.0473,0.5855427713856929,0.5577788894447223,3998,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1925-06-30,2302,256.50625,2456,0.0625,0.5984259642796228,0.5609025121220242,4104.1,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1926-06-30,2338,207.06985999999998,2459,0.0493,0.5854483119851436,0.5566401599923814,4200.2,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1927-06-30,2402,180.72727,2507,0.0419,0.5812255117891174,0.5568822015626087,4313.3,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1928-06-30,2398,273.25488,2556,0.0618,0.5780712864121584,0.5423376153428623,4421.6,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1929-06-30,2389,303.77200999999997,2562,0.0673,0.5676052905598511,0.5292775328444513,4513.7,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1930-06-30,2300,449.0976,2551,0.0978,0.5555313588850174,0.5008710801393729,4592,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1931-06-30,2131,765.13266,2550,0.1641,0.546905160211041,0.45704113584695233,4662.6,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1932-06-30,2086,933.9783599999998,2599,0.1974,0.5493088726381198,0.44088430485691343,4731.4,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1933-06-30,2208,908.6778599999999,2724,0.1893,0.5674763551518687,0.4599808341319112,4800.2,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1934-06-30,2313,777.0980099999999,2754,0.1599,0.5666783267145415,0.4759357188419515,4859.9,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1935-06-30,2417,688.31587,2811,0.1397,0.5705181546954597,0.49055225183170625,4927.1,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1936-06-30,2504,549.2964599999999,2814,0.1098,0.5624962520239071,0.5005297139544647,5002.7,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1937-06-30,2565,448.23729000000003,2814,0.0883,0.5543407600023639,0.5052892855032208,5076.3,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1938-06-30,2655,384.42126,2870,0.0746,0.5569463041664241,0.5152238458403678,5153.1,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1939-06-30,2682,457.96403999999995,2941,0.0876,0.5625585799269306,0.5130166988657013,5227.9,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
1940-06-30,2677,473.39542,2947,0.0899,0.5596490561738008,0.508374795852482,5265.8,Butlin 1977 and ABS 3105 Historical Pop Stats,Year
